"numeroEvento","fechaInicio","fechaFin","duracionMinutos","codigoEstacionMayorAcumulado","valorMayorAcumulado","codigoEstacionMayorIntensidad","valorMayorIntensidad"
109,2012-11-14 15:00:00.000,2012-11-14 21:20:00.000,380.000000000000000,63,60.500000000000000,16,116.400000000000000
110,2012-11-14 21:55:00.000,2012-11-14 23:10:00.000,75.000000000000000,4,24.100000000000000,4,69.600000000000000
111,2012-11-15 21:30:00.000,2012-11-16 03:10:00.000,340.000000000000000,,56.900000000000000,4,84.000000000000000
112,2012-11-16 14:30:00.000,2012-11-16 15:00:00.000,30.000000000000000,21,22.400000000000000,5,90.000000000000000
113,2012-11-17 00:20:00.000,2012-11-17 06:30:00.000,370.000000000000000,2,38.900000000000000,58,90.000000000000000
114,2012-11-17 14:30:00.000,2012-11-17 17:00:00.000,150.000000000000000,37,23.600000000000000,37,90.000000000000000
115,2012-11-17 23:50:00.000,2012-11-18 04:00:00.000,250.000000000000000,16,22.100000000000000,16,55.200000000000000
116,2012-11-18 11:30:00.000,2012-11-18 16:30:00.000,300.000000000000000,52,31.200000000000000,34,48.000000000000000
117,2012-11-20 18:00:00.000,2012-11-20 18:30:00.000,30.000000000000000,62,15.700000000000000,62,63.600000000000000
118,2012-11-21 13:45:00.000,2012-11-21 14:45:00.000,60.000000000000000,63,12.400000000000000,63,60.000000000000000
119,2012-11-21 22:00:00.000,2012-11-22 01:30:00.000,210.000000000000000,4,30.200000000000000,45,96.000000000000000
120,2012-11-22 04:30:00.000,2012-11-22 06:00:00.000,90.000000000000000,30,14.700000000000000,30,44.400000000000000
121,2012-11-22 15:30:00.000,2012-11-22 17:30:00.000,120.000000000000000,49,41.400000000000000,26,60.000000000000000
122,2012-11-22 17:30:00.000,2012-11-22 18:30:00.000,60.000000000000000,51,26.700000000000000,51,96.000000000000000
123,2012-11-22 21:00:00.000,2012-11-23 03:00:00.000,360.000000000000000,17,33.300000000000000,17,56.400000000000000
124,2012-11-24 15:20:00.000,2012-11-24 17:10:00.000,110.000000000000000,38,19.800000000000000,38,100.800000000000000
125,2012-11-26 19:40:00.000,2012-11-26 22:10:00.000,150.000000000000000,70,19.100000000000000,70,100.800000000000000
126,2012-11-28 20:00:00.000,2012-11-28 20:30:00.000,30.000000000000000,26,9.900000000000000,26,84.000000000000000
127,2012-11-28 23:30:00.000,2012-11-29 03:00:00.000,210.000000000000000,19,54.600000000000000,67,132.000000000000000
128,2012-11-29 06:30:00.000,2012-11-29 11:05:00.000,275.000000000000000,32,17.500000000000000,10,45.600000000000000
129,2012-11-29 18:00:00.000,2012-11-29 20:20:00.000,140.000000000000000,23,17.000000000000000,-9999,90.000000000000000
130,2012-11-29 20:30:00.000,2012-11-30 00:30:00.000,240.000000000000000,14,38.600000000000000,14,70.000000000000000
131,2012-11-30 14:30:00.000,2012-11-30 16:30:00.000,120.000000000000000,43,9.400000000000000,43,50.000000000000000
132,2012-11-30 17:45:00.000,2012-11-30 19:45:00.000,120.000000000000000,30,27.400000000000000,30,98.000000000000000
133,2012-12-01 14:30:00.000,2012-12-01 17:10:00.000,160.000000000000000,41,44.700000000000000,67,106.800000000000000
134,2012-12-02 14:40:00.000,2012-12-02 17:40:00.000,180.000000000000000,63,16.300000000000000,56,108.000000000000000
135,2012-12-02 22:05:00.000,2012-12-03 02:30:00.000,265.000000000000000,15,25.600000000000000,64,90.000000000000000
